latitude,longitude,username,tweettext
34.0672703,-118.38731134,Simone Solimeo,#leonardodicaprio #oscar #2016 happy ending for the best actor! @ The Academy https://t.co/iuN7nd96fr
-15.42399877,28.36081579,Harold Finch,Now that Leo’s got his #Oscar, let me watch #TheRevenant
34.10249763,-118.33931963,Peter Sark,Go get em Leo! leonardodicaprio #Oscars #Oscar #Oscar2016 @dolbytheatre theacademy @qworldstar… https://t.co/RRNXZ7HD0W
34.1,-118.33333333,Marissa Quinn,Well leodicaprioofficial finally won a well deserved #Oscar. His speech was very #welldone and… https://t.co/4xqrkceR2m
34.0672703,-118.38731134,descole's dark side,congrats leo ? #oscar #leonardodicaprio #leo #therevenant #ilétaittemps #actor @ The Academy https://t.co/NTvBS1SuFz
34.09306091,-118.32699248,ANDI COSMETICS,LARRY DUNN! Earth Wind & Fire!! #oscar #fashion #RedCarpet #larrydunn @ Taglyan Cultural Complex https://t.co/wBW7OPGXKn
34.0522,-118.243,Denis Gorbatenko,Not bad #congratulations #leonardodicaprio #oscar #oscardicaprio @… https://t.co/ffKTwGsaQZ
34.1016252,-118.34516259,MUSAED ALSANEA,????? ????? #leonardodicaprio ? #oscar #therevenant #academyawards @ The Dolby Theatre ~… https://t.co/0KZ2Z9B6x7
34.1802,-118.328,TheRealRenaOwen,Thank U #larrybock for awesome #oscar gathering! Great peeps, delicious food and a whole lotta… https://t.co/3SMaz4R2ac
34.10259023,-118.34028825,RioMangini,#YAY! #Dad!!! #AcademyAwards #oscar #winner #MadMadFuryRoad !! ?????????????????? @ Dolby… https://t.co/StJpkgtrRg
34.10165723,-118.33970206,Hannah Stoudemire,I've always dreamed in Gold ???? Oscars 2016!! 

#dreambig #dream #DreamInGold #oscar #oscars… https://t.co/MYCjy60bIY
34.0906651,-118.3642799,Martin Sofiedal,The gritty Oscar selfie??? #oscars2016 #oscar #2016 #hollywood #film #filmdirector #awesome… https://t.co/FPBnbnx8so
34.10249763,-118.33931963,Peter Sark,Congrats to leonardodicaprio #Oscars #Oscars2016 #Leo #LeonardoDicaprio #Oscar #Hollywood… https://t.co/PzXZWQA2hj
33.99083,-118.45917,saki,??????????Oscar
?????????
#Oscar #leonardodicaprio @ Venice Beach,… https://t.co/Axk8oHuQXF
-7.9865998,112.6717571,Rizki R. Maharani,"Selamat ya mas Leo... @TheAcademy: The #Oscar for Actor in a Leading Role goes to… https://t.co/m2er0zFJdj"
34.11884489,-118.30046204,Lindsay Stamhuis,Checking out the stars on #Oscar Night...#eyooooooo @ Griffith Observatory https://t.co/rij9Q6CNhs
-6.2173,106.839,Bogdan Vlase,#Repost ifawhq
???
#Congratulations to leonardodicaprio for winning the #Oscar for #BestActor at… https://t.co/X2jOvsRsmp
34.10165393,-118.32636446,Spin My Planet,Congrats leonardodicaprio on the well deserved #Oscar win! You've always been our ?????? #Leo… https://t.co/F4GtqxV8o2
