latitude,longitude,username,tweettext
34.0879,-118.372,Jc Olivera,Actress Andie MacDowell attends The Elton John Aids Foundation #Oscar Viewing Party on February… https://t.co/vsoSPeaJrE
-6.8,39.2833,Jesus Wema Masebo,Ma #nigga #oscar @ Dar es Salaam
-7.69479,111.42594,Fransiska Ovia,Mas #LeonardoDiCaprio  menang ciyee bawa pulang piala #oscar Selamat selamat \=D/
-14.13883354,-39.73436245,MatheusSilvaOficial,Amo o mar
37.8082199,-122.4146576,MONTSE LEDESMA,Al fin lo lograste mi amor ????????? #selfie #leo #TeamLeo #leonardodicaprio #oscars2016 #Oscar… https://t.co/PzhYPEDfih
34.10170028,-118.3392504,Jeremy Falk,And the #oscar for best fruit organ goest to... Heart-mato @… https://t.co/Yo0EF6aBJs
34.15442803,-118.3397087,Jung Hang,Omg! This picture just the best! #titanic #JacknRose ! Congrat to leonardodicaprio! #Oscar… https://t.co/p6hGRxU15V
34.1722,-118.378,SuperMercado Comics,Got 17 right on the #oscar ballot. I won not money but honor. #oscarssowhite @ North Hollywood
34.1924095,-118.336113,Dickcherry,#Oscar party! nvisionate thanks for having @_monstersunite and me! @ Nvisionate Studios https://t.co/u0ylEJi8jQ
34.10249763,-118.3393196,? Arturo Roa ©,@jaredleto #bb8 #Oscars #Oscar #2016 #theacademy #starwarsforceawakens #starwars #tvshow #movies… https://t.co/4sSQ1G3yE8
34.11981381,-118.3006868,megha merani,That smile says it all. leonardodicaprio #leonardodicaprio #bestactor #oscars2016 #oscars #oscar… https://t.co/R0NIY9H5LC
-16.47522583,-151.7030729,Big Meeeeeesh,When #leonardodicaprio finally wins his 1st #oscar .... But #mattdamon #boston #standsup… https://t.co/h1fjio6fYb
-1.6743,-78.6483,Jhones,#oscar #unoscarparaleo justo en el #MadMax ??????? @ Riobamba https://t.co/RPQl65UfBi
-15.79379991,-48.12192181,Sime's people,Fora os prêmios que o MAD MAX levou! Do uma ótima premiação. #Oscar
34.09114742,-118.376343,HolaHollywood,#leonardodicaprio finally wins first #oscar for #bestactor for #therevenant he speaks for… https://t.co/6dPPLbzaTI
-6.91665,107.6088,Wenny Ruth Yosephin,FINALLY? #oscar #congratsleo (at Dolby Theatre
37.78180447,-122.2133152,matt col,Good. Now everyone shut the fuck up about #LeonardoDicaprio not having an #Oscar.
34.10249763,-118.3393196,? Arturo Roa ©,#leonardodicaprio después de recibir su #oscar #oscars2016 @ Dolby Theatre - Home Of The Oscars https://t.co/87oisnTdMB
34.10138889,-118.3266667,Kristina Urribarres,Here's to leonardodicaprio finally winning a well deserved #Oscar! ? #Oscars #Hollywood ?
34.06621709,-118.4129506,Dulce Osuna,#leonardodicaprio finally wins first #oscar for #bestactor for #therevenant he speaks for… https://t.co/Xe3yc222fn
34.0672703,-118.3873113,Rich Wilkerson,Finally @richwilkersonjr receives his #Oscar ... Oh wait ... It was leonardodicaprio so sorry!… https://t.co/6R5M0aiauD
-21.7517,-43.3528,Reverendo Black,Que #MadMax #Oregresso #leonardodicaprio  que nada...and the  #oscar… https://t.co/dh2DIZ6EI0
-19.9667175,-44.0418325,Meio loko,O tt cheio de narradores do #oscar nussa
34.09694804,-118.3630263,Alex,And the #last #oscar of tonight goes to .... | #instadaily #oscars #like4like @ Kodak Theater https://t.co/1wMZzFVy0J
-3.7737,-38.5748,Mayara Morena,Aleluia kkkk vai ficar pra historia 29/02/2016  #leonardodicaprio #oscar @ Fortaleza
34.10249763,-118.3393196,JJ DUBON,#Winner ! #oscar #oscars #theoscars #academyawardwinner #academyawards #awardshow #itsabouttime… https://t.co/fD2pg4RQsI
-6.68701949,-79.90506154,Ledu Sialer Romero,Leonardo grande tio grande...ya te tocaba
34.0879,-118.372,Jc Olivera,Actress Brittany Snow attends The Elton John Aids Foundation #Oscar Viewing Party on February… https://t.co/SoyazhsBIk
34.09249923,-118.3791945,Dani Choi,#oscar #party #swag w/ my @bleeser ?? @ Sunset Plaza
-6.33127145,106.7074525,Frendy Nur Pratama,"At last! 4Head ""@TheAcademy: The #Oscar for Actor in a Leading Role goes to… https://t.co/SUR8zSJkJx"""
34.15548292,-118.4742797,Aridiana Robles,Well deserved 
34.1026192,-118.3395081,michele capurso,Finalmente l' #Oscar è tuo! Grande #LeonardoDiCaprio ! è dai tempi… https://t.co/0uRAqyvnLl
-1.36715543,-48.47002776,Kalil Casseb,@PodcastF1Brasil  Max no curvão
34.0522,-118.243,Liam Garneau,Finally #oscar #leo #fuckingdeserveit #hardwork #goodjob leonardodicaprio @ Los Angeles
37.775,-122.418,Michel Comin Escude,El #Leo guanya el seu #oscar 
34.1026192,-118.3395081,Diversity News Mag,Congrats to #leonardodicaprio for winning his first #Oscar Well deserved.  #OscarsaresoWhite… https://t.co/tZk0UaNys7
34.098122,-118.331915,Nikki Balzzz,At the #fox party when #leonardodicaprio FINALLLY #won his #Oscar ?????? #CONGRATSLEO @ The… https://t.co/fqC8eRBzCU
-12.146097,-77.0021826,Néstor | N7,CARAJOOOOOOO !!
34.0522,-118.243,Tanya Shell,Fan ally the Oscar goes to Leo 
